epoch,train_loss,val_loss,val_dice,val_iou,lr,seconds
1,0.1437598783320383,0.02387864577273528,0.9632273382610745,0.92910399581862,0.001,14.158555030822754
2,0.028154557645050943,0.02111014413336913,0.9652039143774245,0.9327874379082548,0.001,14.145690679550171
3,0.02573866235173267,0.021729416938291654,0.9629782305823432,0.9286730395109214,0.001,14.108486890792847
4,0.023002031316602792,0.02038796390924189,0.9658818178706698,0.934054420147632,0.001,14.092091083526611
5,0.022114941102884495,0.019490318993727367,0.9665057990286086,0.9352171308234623,0.001,14.131943702697754
