user,n,mean,median,p95,p99
37,30669,1.257182230147291,0.8657395349933981,3.4666013361019883,8.051256473272923
38,29106,1.5104931643075445,0.9784866607970688,4.223313837078035,11.963573456956738
39,30214,1.1442779152063387,0.9467563419116418,2.5975528637606566,4.407333010999159
40,30068,1.5153043641574653,0.9013615874606766,5.345895523868639,11.97067341234433
41,30213,1.960490731208783,1.0495981485659425,6.964402617361452,17.388787422131333
42,28324,2.046771977762076,1.1719423608205113,6.787623913540084,17.73169577445217
43,30206,1.4035169136993932,0.9002789977016556,4.041148660830846,11.226563808995552
44,30528,1.1284672655113959,0.8266163140423493,2.849898387171106,6.17080626717372
45,30129,1.4014041225980034,1.0641524437105743,3.352176111764778,7.473538914578348
46,30242,1.0676051602154073,0.8131426470161787,2.625324610695908,5.436354731985434
47,30509,2.347353170097246,0.9677146495001581,9.681802047403007,28.118788744142908
48,29657,1.3139738892111308,0.853186505749429,3.721108572087418,10.68686453401758
