subject,n,mean,median,p95,p99
37,30788,0.24607543272243798,0.08524082199380864,1.1409585111465712,2.3827199619766057
38,29112,0.2920890071219994,0.1017306526741775,1.3221367770605439,2.633619306484685
39,30276,0.2608600171896472,0.09434862904403793,1.1638169527362816,2.017835416607579
40,30242,0.2829551003074998,0.10372669088172545,1.2148844876169083,2.346268822527441
41,30209,0.3205716223621716,0.10379788987195764,1.4919176829242047,3.4144825680859037
42,28349,0.2946702418368053,0.07262888603915185,1.3713610698444598,3.355188177529384
43,30205,0.28967787659377403,0.09349154546157462,1.271127173006508,2.867522285683622
44,30572,0.2690607535659342,0.10090545185421193,1.1636146760500283,2.359371099212907
45,30138,0.2638355587806049,0.08219632741868868,1.2667272132066656,2.7393333224036263
46,30243,0.2735764538033371,0.10044054496630243,1.1998342670528415,2.2336375256827194
47,30594,0.2620199583532237,0.08527959926304579,1.2550673642988306,2.510808994340877
48,29671,0.3082993382363225,0.09997879756752566,1.3761139621371994,2.6120364897864143
