path,zone,kind,qualname,name,start_line,end_line,loc,statement_count,branch_count,parameter_count,decorator_count,has_docstring,calls,semantic_hash
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,analysis,function,find_gaze_file,find_gaze_file,26,38,13,12,4,1,0,True,ev.p;glob.glob;os.path.isdir;os.path.isfile,aa7e172664b74a5357ec
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,analysis,function,parse_gaze,parse_gaze,41,98,58,48,21,2,0,False,arr.append;d.get;float;g2x.append;g2y.append;isinstance;json.loads;len;line.split;line.strip;o.get;open_maybe_gz;pe.get;round;sorted;stats;sum;ts.append,32ce762216d68056748a
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,analysis,function,parse_gaze.stats,stats,79,84,6,5,1,1,0,False,len;round;sorted;sum,5eb77797f30840318ba0
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,analysis,function,read_float_list,read_float_list,101,116,16,15,6,1,0,False,float;line.strip;open;os.path.isfile;out.append;re.findall,851beb18863b95e23dce
algorithm/analysis/annotation-analysis/scripts/03_analyze_tobii_gaze.py,analysis,function,main,main,119,182,64,49,18,0,0,False,ap.add_argument;ap.parse_args;argparse.ArgumentParser;csv.DictWriter;ev.SESSION_MEANING.get;ev.dump_json;ev.ensure_dir;ev.p;ev.tobii_root;find_gaze_file;gaze_rows.append;isinstance;json.dumps;keys;len;list;open;os.listdir;os.path.abspath;os.path.basename;os.path.isdir;parse_gaze;print;re.fullmatch;read_float_list;round;sorted;st.items;str;sync_rows.append;sys.exit;w.writeheader;w.writerows,6bfd963369b7a0656714
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,analysis,function,summarize_var,summarize_var,23,33,11,11,3,1,0,False,float;list;np.asarray;np.nanmax;np.nanmean;np.nanmin;round;str;type,905001b907ee2c81f5a1
algorithm/analysis/annotation-analysis/scripts/04_analyze_tracking_results.py,analysis,function,main,main,36,120,85,73,27,0,0,False,ap.add_argument;ap.parse_args;argparse.ArgumentParser;csv.DictWriter;d.items;ev.dump_json;ev.ensure_dir;ev.load_mat_any;ev.p;ev.predict_root;ev.track_root;get;glob.glob;key.startswith;keys;len;list;np.asarray;open;os.listdir;os.path.abspath;os.path.isdir;os.path.relpath;predict_rows.append;print;replace;sorted;summarize_var;traj_lens.append;traj_lens.sort;w.writeheader;w.writerows,3fc46860502a58852788
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,analysis,function,load_json,load_json,18,22,5,5,2,2,0,False,json.load;open;os.path.isfile,87067daec7863a61e8ed
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,analysis,function,load_csv,load_csv,25,29,5,5,2,1,0,False,csv.DictReader;list;open;os.path.isfile,744ff2b6f2addea14ea4
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,analysis,function,fnum,fnum,32,36,5,4,1,1,0,False,float,faedec4e7ca5ebbea15f
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,analysis,function,main,main,39,193,155,127,38,0,0,False,L.append;ap.add_argument;ap.parse_args;argparse.ArgumentParser;cov_by_sess.get;ev.SESSION_MEANING.get;ev.ensure_dir;ev.p;f.write;flags.append;fnum;fp.endswith;get;int;isinstance;join;json.dumps;len;load_csv;load_json;matplotlib.use;max;mbs.get;min;open;os.path.isfile;os.path.relpath;plotted.append;plt.bar;plt.close;plt.figure;plt.hist;plt.savefig;plt.tight_layout;plt.title;plt.xlabel;plt.xticks;plt.ylabel;pres.items;print;r.get;s01.get;s04.get;stat;statistics.mean;statistics.median;t.get,e89952c83c86cf972838
algorithm/analysis/annotation-analysis/scripts/05_eval_annotation_quality.py,analysis,function,main.stat,stat,91,95,5,4,1,1,0,False,len;max;min;statistics.mean;statistics.median,6f85789a281f80f06a9d
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,analysis,function,build_avi,build_avi,27,44,18,18,5,3,0,False,cv2.VideoWriter;cv2.VideoWriter_fourcc;cv2.imread;cv2.resize;os.path.isfile;vw.isOpened;vw.release;vw.write,994e50a5a80ef4cda675
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,analysis,function,real_event_stats,real_event_stats,47,49,3,3,1,2,0,False,ev.events_summary,3961780b8f066362c7c4
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,analysis,function,synth_event_stats,synth_event_stats,52,80,29,29,12,1,0,False,float;int;len;line.split;line.startswith;line.strip;max;open;round,dbdc69130281ae61fa22
algorithm/analysis/annotation-analysis/scripts/06_v2e_synth_check.py,analysis,function,main,main,83,166,84,65,16,0,0,False,ap.add_argument;ap.parse_args;argparse.ArgumentParser;build_avi;ev.davis_root;ev.dump_json;ev.ensure_dir;ev.frame_files;ev.p;ev.read_timestamps_txt;join;len;os.path.isdir;os.path.isfile;print;real.get;real_event_stats;round;shutil.rmtree;shutil.which;str;subprocess.run;synth.get;synth_event_stats;sys.exit;tempfile.mkdtemp,daeae1d0bdbd2a542465
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,p,p,32,33,2,2,0,1,0,False,os.path.join,c1eca61d581b10bd47fd
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,davis_root,davis_root,35,36,2,2,0,1,0,False,p,f4005a77d70edeace42d
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,mask_root,mask_root,38,39,2,2,0,1,0,False,p,d1186f6a5c2cc6b492b0
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,tobii_root,tobii_root,41,42,2,2,0,1,0,False,p,fe21ae187623cdd21b7b
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,predict_root,predict_root,44,45,2,2,0,1,0,False,p,c4d3807ca6502411519f
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,track_root,track_root,47,48,2,2,0,1,0,False,p,346166badfdce31eaf2e
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,list_users,list_users,50,55,6,6,2,1,0,True,int;os.listdir;os.path.isdir;re.fullmatch;sorted,22b8c716a3dae4cd0fcb
algorithm/analysis/annotation-analysis/scripts/evlib.py,analysis,function,user_id,user_id,57,59,3,3,1,1,0,False,int;m.group;re.search,9c7e80cafedfbaf761f4
