group_id,semantic_hash,path,zone,qualname,line,loc
130,796f3db3287bb391d245,algorithm/common/src/EvEye/utils/scripts/check_reproduction_status.py,maintained,validate_expected_eval_context,214,5
130,796f3db3287bb391d245,algorithm/common/src/EvEye/utils/scripts/check_reproduction_status.py,maintained,validate_expected_comparison_context,221,5
131,7bb6c34cadde6269b79c,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Loss.py,maintained,xywhr2xyrs,247,10
131,7bb6c34cadde6269b79c,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Loss.py,maintained,xywhr2xyrs,247,10
132,7bce78076d66928de1b0,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Predict.py,maintained,gather_feat,82,19
132,7bce78076d66928de1b0,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Predict.py,maintained,gather_feat,82,19
133,7bef8ac918188c4630dc,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Backbone/DeiT.py,maintained,Attention.__init__,49,12
133,7bef8ac918188c4630dc,quantization/src/models/vision_transformer.py,maintained,Attention.__init__,50,12
134,7d7ac7040ef31b7f7de9,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Loss.py,maintained,gwds_loss,156,89
134,7d7ac7040ef31b7f7de9,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Loss.py,maintained,gwds_loss,156,89
135,82082df1375f7bc903df,algorithm/analysis/data-distribution/handover-v1/04_code/motion_labeler.py,analysis,_center_at,25,12
135,82082df1375f7bc903df,algorithm/analysis/data-distribution/handover-v2/04_code/motion_labeler.py,analysis,_center_at,25,12
135,82082df1375f7bc903df,algorithm/analysis/data-distribution/src/motion_labeler.py,analysis,_center_at,25,12
135,82082df1375f7bc903df,algorithm/analysis/motion-label-packages/code/motion_labeler.py,analysis,_center_at,25,12
136,8269b2314bb289f47cb7,algorithm/analysis/data-distribution/handover-v1/04_code/build_sec3.py,analysis,split_violin,27,18
136,8269b2314bb289f47cb7,algorithm/analysis/data-distribution/handover-v2/04_code/build_sec3.py,analysis,split_violin,27,18
136,8269b2314bb289f47cb7,algorithm/analysis/data-distribution/src/build_sec3.py,analysis,split_violin,27,18
137,8352dd4a89c3af42ffa1,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Loss.py,maintained,WeightLoss.forward,392,5
137,8352dd4a89c3af42ffa1,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Loss.py,maintained,WeightLoss.forward,392,5
138,849caf491078910b6070,algorithm/common/src/EvEye/model/DavisEyeEllipse/UNet/UNet.py,maintained,DoubleConv.__init__,34,12
138,849caf491078910b6070,algorithm/common/src/EvEye/model/DavisWithMask/UNet.py,maintained,DoubleConv.__init__,34,12
139,849db7f3bd472938e325,algorithm/hybrid/src/training/step_runner.py,maintained,SampledParamStepRunner.__init__,314,16
139,849db7f3bd472938e325,algorithm/hybrid/src/training/step_runner.py,maintained,StandardStepRunner.__init__,377,16
140,84a049cb68864a2cd947,algorithm/hybrid/src/data/loader.py,maintained,_as_bool,53,6
140,84a049cb68864a2cd947,algorithm/hybrid/src/loss/stage_common.py,maintained,_as_bool,39,6
141,851d34186a73192d1175,hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,maintained,HgtxrE2EAxisDmaOverlay._phys,83,6
141,851d34186a73192d1175,hardware/pynq/hgtxr/e2e_m_axi_overlay.py,maintained,HgtxrE2EMaxiOverlay._phys,62,6
141,851d34186a73192d1175,hardware/pynq/hgtxr/hgtxr_overlay.py,maintained,HgtxrOverlay._phys,129,6
142,878e924ceffd582cca73,algorithm/common/src/EvEye/utils/scripts/evaluate_hbtxr_frame_motion_package.py,maintained,build_manual_gt_lookup,364,33
