path,zone,language,kind,name,line
algorithm/analysis/report/FACET/operations/watch_full_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,timestamp,22
algorithm/analysis/report/FACET/operations/watch_full_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,ckpt_count,26
algorithm/analysis/report/FACET/operations/watch_full_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,latest_ckpt,37
algorithm/analysis/report/FACET/operations/watch_full_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,training_complete,49
algorithm/analysis/report/FACET/operations/watch_full_training_jobs_2026-06-26.sh,analysis,Shell,function,timestamp,28
algorithm/analysis/report/FACET/operations/watch_full_training_jobs_2026-06-26.sh,analysis,Shell,function,has_session,32
algorithm/analysis/report/FACET/operations/watch_full_training_jobs_2026-06-26.sh,analysis,Shell,function,training_complete,37
algorithm/analysis/report/FACET/operations/watch_full_training_jobs_2026-06-26.sh,analysis,Shell,function,artifact_valid,45
algorithm/analysis/report/FACET/operations/watch_full_training_jobs_2026-06-26.sh,analysis,Shell,function,final_artifacts_exist,54
algorithm/analysis/report/FACET/operations/watch_full_training_jobs_2026-06-26.sh,analysis,Shell,function,restart_if_needed,65
algorithm/analysis/report/FACET/operations/watch_full_training_jobs_2026-06-26.sh,analysis,Shell,function,refresh_status,85
algorithm/analysis/report/FACET/operations/watch_hbtxr_effbs32_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,timestamp,20
algorithm/analysis/report/FACET/operations/watch_hbtxr_effbs32_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,ckpt_count,24
algorithm/analysis/report/FACET/operations/watch_hbtxr_effbs32_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,latest_ckpt,35
algorithm/analysis/report/FACET/operations/watch_hbtxr_effbs32_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,training_complete,47
algorithm/analysis/report/FACET/operations/watch_hbtxr_effbs32_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,artifact_valid,55
algorithm/analysis/report/FACET/operations/watch_hbtxr_effbs32_checkpoints_and_evaluate_2026-06-26.sh,analysis,Shell,function,final_artifacts_exist,64
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode0_build_dataset.sh,archive,Shell,function,usage,10
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode0_build_manifests.sh,archive,Shell,function,usage,10
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode0_canonicalize.sh,archive,Shell,function,usage,10
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode0_prepare.sh,archive,Shell,function,usage,10
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode0_train_stage1.sh,archive,Shell,function,usage,10
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode0_train_stage2.sh,archive,Shell,function,usage,10
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode1_event_sweep.sh,archive,Shell,function,usage,29
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode1_event_sweep.sh,archive,Shell,function,resolve_presets,129
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode1_event_sweep.sh,archive,Shell,function,preset_vars,140
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode1_event_sweep.sh,archive,Shell,function,latest_stage1_checkpoint,177
algorithm/archive/imports/legacy_hybrid/scripts/experiments/run_mode1_event_sweep.sh,archive,Shell,function,run_prepare_preset,189
