epoch,train_loss,val_loss,val_dice,val_iou,lr,seconds
1,0.133754695692729,0.028126924919585388,0.955112894376119,0.9141271610576697,0.001,14.114295244216919
2,0.02712993807276416,0.025522256425271433,0.9572207679351171,0.9180044379557186,0.001,14.107851505279541
3,0.023985036487652087,0.020676618597159784,0.965399906039238,0.9331637086313948,0.001,14.067493677139282
4,0.02333549814695706,0.020704849778364103,0.9654485682646433,0.9332420525914712,0.001,14.056802988052368
5,0.02272110501769082,0.02088089194148779,0.9649218916893005,0.932250772051843,0.001,14.102418184280396
