epoch,train_loss,train_metric,val_loss,val_metric,lr,seconds
1,0.00035052237590664867,3.1063084268198264,5.4048501648759155e-05,0.9475575151319519,0.001,494.6106901168823
2,0.00020182258111287892,2.098709627372229,3.784091932925424e-05,0.8460014699736175,0.001,441.5369029045105
3,0.00018712860386574764,2.0219031562459326,4.587050200534717e-05,0.9088773372674597,0.001,393.19101190567017
4,0.00017984545802190386,2.005667554067133,3.294869594940391e-05,0.9717278131476783,0.001,362.2350523471832
5,0.00017587752280569968,1.9986805756490447,4.1112430048583714e-05,1.3162293830730656,0.001,372.7053997516632
6,0.000173264290404407,1.982126278445259,2.543257910985004e-05,0.7055249359048,0.001,356.0827491283417
7,0.0001728732362456506,1.988168550651124,3.165659510679863e-05,0.7536808442871009,0.001,355.9612019062042
8,0.00017084288269204323,1.9807354590062576,3.3413368435914813e-05,0.9343798288205094,0.001,367.447224855423
9,0.0001702626679827269,1.9830058413893392,3.982694297471037e-05,0.8860312046224418,0.001,362.12661051750183
10,0.0001699516210507741,1.9833752552521262,2.829657634110973e-05,0.866502152585466,0.0007,359.9137861728668
11,0.00016716474742164844,1.949877157198547,2.8739231269504134e-05,0.6838056382994758,0.0007,370.0594265460968
12,0.00016632823244185787,1.945177108835866,3.365305468050038e-05,0.8350001493231499,0.0007,360.5725440979004
13,0.00016639008785318687,1.9439560610110849,3.33869980567923e-05,0.9455218555797489,0.0007,366.28857254981995
14,0.00016654400530315746,1.9433828742429233,2.9332065054599507e-05,0.7260917808578012,0.0007,360.54679250717163
15,0.0001653844530487131,1.943340186812578,3.502668432479383e-05,1.0756020143294136,0.0007,361.02606415748596
16,0.00016549063438758165,1.9424441458271222,3.170689109081217e-05,0.8566043521973004,0.0007,373.9892809391022
17,0.00016543183489022595,1.941242176487057,4.227173942156549e-05,0.879853329451593,0.0007,361.3698801994324
18,0.00016497052512277915,1.9411124668344346,2.7943976730447366e-05,0.8511354241006568,0.0007,358.69864296913147
19,0.00016527281547218555,1.9408741171106376,3.212933142707902e-05,0.8002651558219532,0.0007,367.57288694381714
20,0.00016545684202815813,1.9450948951573275,3.655920093174102e-05,0.9641023234701852,0.00049,362.0028896331787
21,0.00016299506315058202,1.9172273009299885,3.08763589180658e-05,0.7265505118828082,0.00049,451.4898657798767
22,0.00016293230136201205,1.9193670802935823,2.602430041500225e-05,0.6195286331858009,0.00049,453.87532472610474
23,0.00016301036086396214,1.9178007048179662,2.4391403218969784e-05,0.7038111005309491,0.00049,395.63187193870544
24,0.00016330152084886946,1.9189273160963962,2.6743823192771742e-05,0.7293837480713046,0.00049,382.006005525589
