Subject,Split,Motion,N,Mean,Median,P95,P99,IoU_Mean,IoU_Median
37,Test,Fixation,19583,1.2532608915640213,0.6177999032143281,4.560603837021187,10.455125360968156,,
37,Test,Saccade,275,0.8746726819659513,0.5318639662771139,2.851366912237833,4.941184748475184,,
37,Test,Smooth,10938,0.8720831135444281,0.5146231714439504,2.6380522111894136,6.374862042428571,,
38,Test,Fixation,18738,1.494495140042951,0.7132278998077259,5.4476597808129865,11.427188946461925,,
38,Test,Saccade,214,0.896182325474828,0.5296522488849618,2.3153652804845155,9.236242507127594,,
38,Test,Smooth,10168,1.0339179831097287,0.5844178957581317,3.5156573025361704,8.678277296151668,,
39,Test,Fixation,19698,1.1123092147298017,0.7910579114541263,2.8651511899753053,6.3247168677900705,,
39,Test,Saccade,95,1.0920591503102597,0.7318072252340218,3.5307214652711485,5.622093920454775,,
39,Test,Smooth,10491,0.9399475277344486,0.6712891273933183,2.4257483099166484,4.610101432670491,,
40,Test,Fixation,19196,1.9131223037908247,0.7430803132418542,7.780387885077305,13.152484365629443,,
40,Test,Saccade,144,1.992246872013786,0.6942815554738095,8.342143006485083,26.661956257592216,,
40,Test,Smooth,10910,0.8608111135894783,0.46335673266441857,2.4743281462180757,8.115062571607256,,
41,Test,Fixation,18720,2.0781541791378997,0.7605542548313332,10.23760652806012,18.46702124993662,,
41,Test,Saccade,656,1.878353277335622,0.7479621188190879,7.466547799343707,15.272040054986357,,
41,Test,Smooth,10841,1.3764462957778536,0.6444185013309345,5.011108113226504,13.924198731121173,,
42,Test,Fixation,17440,2.3361980670228655,0.9236132966642259,10.338185208390168,18.31271570118083,,
42,Test,Saccade,341,1.7573891844711915,0.9532656259321584,7.404881984494311,12.406479348125389,,
42,Test,Smooth,10576,1.4375545124471818,0.6294328918528177,5.388311596717691,12.98511040102188,,
43,Test,Fixation,18744,1.3722375573096102,0.6479432008094914,5.0431894726531175,11.471876446464535,,
43,Test,Saccade,434,1.5590555315700967,0.7366028922326435,5.822595444867869,12.714022449260048,,
43,Test,Smooth,11035,1.0532835237453466,0.5241540191173137,3.632135915175131,10.439071706800375,,
44,Test,Fixation,19507,0.9812375473842685,0.5220579456613239,3.279786990927675,8.319345425327676,,
44,Test,Saccade,158,1.0809868523220256,0.6147814096948057,3.063468623735346,8.62987685113472,,
44,Test,Smooth,10915,0.9358039542050554,0.497344770471417,2.928808136623091,9.07930225632618,,
45,Test,Fixation,18772,1.2331904432431349,0.7580776280566806,3.6972003982567276,8.642614692077963,,
45,Test,Saccade,334,1.1866623817598119,0.6691404885026982,3.052871793183204,10.263171013154746,,
45,Test,Smooth,11040,1.046730203974126,0.6467501049355922,3.07336373559889,7.085385385812421,,
46,Test,Fixation,19308,1.0027477256549941,0.6083769405316365,3.124795291238902,7.4947314835343315,,
46,Test,Saccade,100,0.6830530096650448,0.5188086505104901,1.5759073497020226,2.3959561042177175,,
46,Test,Smooth,10843,0.718406968360596,0.511105823864829,1.9829705336725865,3.838644450600515,,
47,Test,Fixation,19371,2.1260442823952506,0.6060949941253287,9.837844094994729,26.403786803204262,,
47,Test,Saccade,284,2.013505422881563,0.5658646857462263,8.895827387615409,26.934894293145703,,
47,Test,Smooth,10947,1.4342024731843557,0.5118763421687994,5.515046789848038,16.14355863967867,,
48,Test,Fixation,18876,1.242264816833675,0.5798664115831502,4.782474449812122,10.69449606552805,,
48,Test,Saccade,145,0.6844726014154334,0.5257270751374876,1.5231728916494718,2.578327270938673,,
48,Test,Smooth,10658,0.9883587400464011,0.5125372618022828,3.3827105588803836,9.961552458572593,,
