epoch,train_loss,train_metric,val_loss,val_metric,lr,seconds
1,0.005701434361052894,0.7035985370617508,0.0039705096211020184,0.6371430144708398,0.001,356.57710361480713
2,0.005562681983216834,0.6350368705354371,0.0038734797510556885,0.6653265124507349,0.001,351.83692836761475
3,0.005528156863769471,0.6228388914432724,0.0038930310929830877,0.604536251996268,0.001,352.6647033691406
4,0.00550528722865423,0.6193264083633252,0.0038801942303580317,0.6118729982420227,0.001,380.4510316848755
5,0.005494974321264488,0.6172171653076652,0.003930785799060437,0.626564664511754,0.001,380.39395356178284
6,0.005491661573154491,0.6163013549902784,0.0040388340531110865,0.6943250778922665,0.001,365.19531536102295
7,0.005477577293474545,0.6090931109937601,0.0038212192647402205,0.6396939614195303,0.001,396.01306104660034
8,0.005477366772343571,0.6128269767773242,0.0038448317964468247,0.7094178484972252,0.001,370.3222436904907
9,0.0054690185551402185,0.612042844191136,0.00383298801585591,0.6529707206457822,0.001,376.2459328174591
10,0.005474010156493926,0.6114790238327549,0.0038905445017036328,0.7038657088629023,0.0007,392.2947382926941
11,0.005428145381032052,0.5948924291998935,0.0038278364106356056,0.6557776605801674,0.0007,362.71731519699097
12,0.005416820752594442,0.5964271525299077,0.0037869127432617606,0.6277923805209904,0.0007,389.6320390701294
13,0.0054178213632664505,0.5964017857179096,0.003841134438727761,0.6314659026724299,0.0007,364.9857687950134
14,0.005414452435089478,0.5928619682487074,0.003928612567690666,0.8269141084195053,0.0007,364.5296928882599
15,0.005413334222686561,0.5948633613581975,0.003870694786947845,0.6475007069356374,0.0007,367.90665435791016
16,0.005416651617962632,0.5897213559396014,0.0037965230373082333,0.630383827188465,0.0007,338.252290725708
17,0.005416661062073407,0.5926286076932468,0.004187886906257761,0.6747830032455474,0.0007,318.26154494285583
18,0.005406393647870056,0.5870191664189901,0.0038769006386640287,0.5943179803340073,0.0007,319.5062572956085
19,0.005408567597101432,0.5886647734950912,0.003982919463224672,0.6261986849229391,0.0007,319.0588552951813
20,0.005412501488998326,0.5894132933339301,0.003866308323978007,0.5961630603811306,0.00049,317.31180357933044
21,0.005374850090981337,0.5761151973200828,0.0038952076573965963,0.642609368066757,0.00049,318.3497266769409
22,0.0053702490556796,0.5825035553251402,0.003991541837310329,0.6941364448249526,0.00049,318.6429295539856
23,0.005365588376108217,0.5804378872673844,0.0038825848125578315,0.6556703748397055,0.00049,319.1442332267761
24,0.00536116507955912,0.5790580356026347,0.0038599050319119243,0.6277769039024728,0.00049,318.3978900909424
25,0.0053629340011458635,0.57885307274891,0.003861121956125718,0.6169344748577202,0.00049,319.83058643341064
26,0.005365758851925762,0.5785757130168034,0.00381461514634114,0.5911402305689125,0.00049,318.2409110069275
27,0.0053630853565907605,0.5819359904549521,0.0037816211055582767,0.5960150886942731,0.00049,318.5612590312958
28,0.005363391583168396,0.581308924412699,0.003903207566044317,0.6360036348856061,0.00049,329.16983938217163
29,0.005365001038354344,0.5820534196816886,0.003971937017132637,0.60715870655067,0.00049,327.0128183364868
30,0.005364168871846343,0.5793030552750414,0.004043035988621989,0.6860287393791925,0.000343,329.6799418926239
31,0.0053325585685393105,0.5683302242766562,0.0038175142303412675,0.5798469877649367,0.000343,340.9798119068146
32,0.005334465953068033,0.5698117608288604,0.003927359532240288,0.6528464838905149,0.000343,334.92093801498413
33,0.005328440555366586,0.575349042024661,0.003819846430924207,0.6127798847729832,0.000343,324.00657510757446
34,0.005322154476351476,0.5790030194989257,0.0038022560824766813,0.6363066670283815,0.000343,318.4964213371277
35,0.005322535035785719,0.5785351536397344,0.003953197342509464,0.6545738571802227,0.000343,316.9639735221863
36,0.005321686419603495,0.5766652724070734,0.00379230646784555,0.6336932642554342,0.000343,319.90256690979004
37,0.005325196430154564,0.5796263843997311,0.003795730223105089,0.6305677561891557,0.000343,319.3755533695221
38,0.005319390479245567,0.5800480507059445,0.0038859772142380224,0.6262841659148415,0.000343,318.43801498413086
39,0.0053204421747766704,0.576996286100811,0.0037638306194387066,0.5941408860329169,0.000343,319.39317178726196
40,0.00531885057783748,0.5788328633578305,0.003775865176176114,0.6224774099144467,0.00024009999999999998,320.2108054161072
41,0.00529506873839967,0.5679901692623811,0.00379518083574343,0.6001502288674413,0.00024009999999999998,319.36170291900635
42,0.005291283561632602,0.5688135866326207,0.0037887497565732395,0.5892758615279999,0.00024009999999999998,317.894248008728
43,0.0052901976519260496,0.5688778740789283,0.003917835829262009,0.6267316829824938,0.00024009999999999998,319.888631105423
44,0.00529123420059231,0.5680949466835342,0.003843132123692503,0.6141415423712653,0.00024009999999999998,434.5715730190277
45,0.005293739326495528,0.569616446891764,0.0039354778657807,0.6869772944523641,0.00024009999999999998,457.9201946258545
46,0.005291480430892766,0.5680862079123454,0.003788625151671577,0.6066604649125598,0.00024009999999999998,372.90772795677185
47,0.005292240212494376,0.5713907935712574,0.0037659457495496118,0.6277652588440834,0.00024009999999999998,359.82978677749634
48,0.00529078754531887,0.5696235412081389,0.0038957505312235173,0.6671201782621544,0.00024009999999999998,355.84662985801697
49,0.005293490515993247,0.567054717723637,0.0037559109148341233,0.5867271528747302,0.00024009999999999998,366.8777804374695
50,0.005287434676016021,0.5687215764942811,0.0039054407290804146,0.6299598658908007,0.00016806999999999998,354.828097820282
51,0.005267916496910699,0.5614498206714426,0.003921585748446361,0.6581303595397252,0.00016806999999999998,374.2615032196045
52,0.005266349327504537,0.5634666541503597,0.0037835113853294713,0.5911689374296769,0.00016806999999999998,487.9141035079956
53,0.005261499887657561,0.5650491754392507,0.003780944109182743,0.599838202057855,0.00016806999999999998,494.295606136322
54,0.0052617083114755445,0.5644099350572283,0.0037882419628042234,0.5885262137397393,0.00016806999999999998,405.48704957962036
55,0.005262926409501469,0.5644449489486242,0.0037772180461123463,0.5894661198134172,0.00016806999999999998,358.6795423030853
56,0.005264326862527555,0.5628231619155349,0.0037387248606319734,0.5986324774482064,0.00016806999999999998,367.45492672920227
57,0.005264916121701286,0.5622128185373755,0.003784106125855809,0.6671513100470318,0.00016806999999999998,347.5259988307953
58,0.005259640833655657,0.5639085435727302,0.0037503465845282746,0.5893484883552284,0.00016806999999999998,352.0249562263489
59,0.005260979647488456,0.5642555142199029,0.003787929032089795,0.5896507155177367,0.00016806999999999998,386.3014500141144
60,0.005260617465542671,0.5630586913170634,0.0037984677789226927,0.605853788174953,0.00011764899999999998,337.3480272293091
61,0.0052430650583262395,0.55987826753956,0.003816756697986786,0.5986191586001822,0.00011764899999999998,350.7152466773987
62,0.005237160436509698,0.5586886774897358,0.0038190941713384377,0.6184412650589184,0.00011764899999999998,378.84179496765137
63,0.005237147386172897,0.5603544174007179,0.003827128178479434,0.607256854720204,0.00011764899999999998,344.9837076663971
64,0.005237435831814519,0.5615374887101638,0.0038580147092908096,0.6185467686189476,0.00011764899999999998,319.8534617424011
65,0.0052390931800020725,0.5593242744962478,0.0037679299679290743,0.6039765338385255,0.00011764899999999998,319.79351830482483
66,0.005235706918408076,0.5591625483165258,0.0038359780512016925,0.632634384914984,0.00011764899999999998,319.4377224445343
67,0.0052381296843992155,0.5591074256367031,0.0038798420749840824,0.6372110989407032,0.00011764899999999998,320.3414170742035
68,0.0052352950099191255,0.5614588898487679,0.003794096841546532,0.6191213703942529,0.00011764899999999998,319.0754461288452
69,0.0052379427523575476,0.5583683890068258,0.0038010573654489403,0.6298588834279552,0.00011764899999999998,319.3241512775421
70,0.00523569981821367,0.5585407961349845,0.0037771823993291713,0.6194117501265407,8.235429999999999e-05,320.2907395362854
