eye,heldout_user,train_samples,val_samples,best_dice,seconds
left,1,4427,103,0.9665403962135315,75.44833898544312
left,2,4399,131,0.9505537362659678,73.39418196678162
left,3,4448,82,0.9497554302215576,74.93227171897888
left,4,4431,99,0.9685689348440903,75.08306789398193
left,5,4431,99,0.9610770757381732,74.86440086364746
left,6,4430,100,0.9533319794214689,75.11636018753052
left,7,4429,101,0.9477522373199463,75.41842842102051
left,8,4430,100,0.9463622799286475,74.54822587966919
left,9,4429,101,0.9642623250301068,74.5405912399292
left,10,4433,97,0.956189710360307,75.74753594398499
left,11,4427,103,0.9608559058262751,74.87882947921753
left,12,4426,104,0.959395917562338,75.85323095321655
left,13,4426,104,0.955217196391179,75.7004246711731
left,14,4434,96,0.9558539291222891,75.28195714950562
left,15,4439,91,0.9463330060243607,74.98505163192749
left,16,4441,89,0.94586514433225,75.23847842216492
left,17,4443,87,0.9427614157850092,74.83492588996887
left,18,4477,53,0.9371858579771859,75.44403862953186
left,19,4425,105,0.9462552836963108,75.04459357261658
left,20,4441,89,0.9508565813302994,75.62527418136597
left,21,4486,44,0.9530520737171173,75.90196919441223
left,22,4432,98,0.9542430364168607,75.05816078186035
left,23,4429,101,0.9348070025444031,75.54202938079834
left,24,4462,68,0.9646078877978854,75.60410618782043
left,25,4432,98,0.9633690118789673,76.21733689308167
left,26,4440,90,0.9620246489842733,75.9873960018158
left,27,4438,92,0.9564452717701594,77.45724701881409
left,28,4429,101,0.9520097695864164,75.65080404281616
left,29,4446,84,0.9394351785833185,74.86013436317444
left,30,4430,100,0.959857124548692,75.81562376022339
left,31,4435,95,0.9609188040097555,76.25231456756592
left,32,4452,78,0.9467605710029602,75.30160784721375
left,33,4418,112,0.9529242898736682,74.40894055366516
left,34,4435,95,0.9547909945249557,74.83409428596497
left,35,4422,108,0.9498993030616215,75.38972783088684
left,36,4425,105,0.9564333260059357,75.2628800868988
left,37,4447,83,0.9608757387508046,75.83118057250977
left,38,4436,94,0.9581229388713837,75.61910486221313
left,39,4466,64,0.9629039391875267,74.93821549415588
left,40,4427,103,0.9500377590839679,75.93548011779785
left,41,4432,98,0.9470587831277114,74.91618967056274
left,42,4433,97,0.94995739368292,77.20340251922607
left,43,4432,98,0.9600846263078543,76.57550406455994
left,44,4427,103,0.9599415109707758,75.90257096290588
left,45,4430,100,0.9456913792170011,76.5069968700409
left,46,4436,94,0.9566904356082281,76.90515422821045
left,47,4426,104,0.9573188928457407,76.84955739974976
left,48,4441,89,0.9556258767843246,75.73682308197021
right,1,4378,103,0.971458375453949,74.47009825706482
right,2,4376,105,0.9681010033403125,75.69762778282166
right,3,4396,85,0.9641987464644692,75.75785446166992
right,4,4384,97,0.9696204387224637,74.83554172515869
right,5,4414,67,0.9665057990286086,75.53866815567017
right,6,4385,96,0.9570129066705704,75.43940854072571
right,7,4381,100,0.9549176005216745,75.22809290885925
right,8,4382,99,0.95259834252871,75.45357203483582
right,9,4379,102,0.9645488812373235,74.89617419242859
right,10,4388,93,0.9609836687644323,74.88872981071472
right,11,4379,102,0.9593485731344956,76.34467506408691
right,12,4376,105,0.9569040068558284,75.86015939712524
right,13,4375,106,0.9534353869301933,74.56204915046692
right,14,4382,99,0.9658184464161212,75.92479348182678
right,15,4389,92,0.9493687599897385,75.24703884124756
right,16,4391,90,0.9579621255397797,74.59338116645813
right,17,4396,85,0.9537453217939897,77.25151515007019
right,18,4420,61,0.9424299672245979,75.29136657714844
right,19,4384,97,0.9608042652790363,75.57066607475281
right,20,4385,96,0.9673727651437124,75.17544889450073
right,21,4430,51,0.9575241804122925,74.80879783630371
right,22,4381,100,0.9591188935133127,74.93537545204163
right,23,4388,93,0.9488123257954916,74.97778725624084
right,24,4396,85,0.973703227259896,75.98718285560608
right,25,4381,100,0.9647731414208045,75.76105952262878
right,26,4392,89,0.9684132188558578,74.72631478309631
right,27,4384,97,0.9632459787222055,75.36363101005554
right,28,4386,95,0.9558991442124048,75.21392464637756
right,29,4392,89,0.9559936970472336,74.964026927948
right,30,4380,101,0.9647990235915551,74.31071877479553
right,31,4383,98,0.9666718473801246,76.6854133605957
right,32,4413,68,0.9476799699995253,75.40020394325256
right,33,4377,104,0.9658746902759259,75.62997436523438
right,34,4377,104,0.9667392694033109,75.0329110622406
right,35,4372,109,0.9574741039957319,75.39053797721863
right,36,4374,107,0.9665574303695134,74.60992217063904
right,37,4386,95,0.9702145804961523,75.39446115493774
right,38,4384,97,0.9621998713566706,75.33434200286865
right,39,4401,80,0.9684771180152894,75.69824004173279
right,40,4380,101,0.9592133989700904,74.71909785270691
right,41,4381,100,0.9534550951077387,74.44710874557495
right,42,4383,98,0.9625441294450027,74.78553366661072
right,43,4388,93,0.9654485682646433,75.18391752243042
right,44,4377,104,0.962747899385599,75.99123764038086
right,45,4401,80,0.9645366966724396,76.36557865142822
right,46,4412,69,0.9667360451486375,75.53914403915405
right,47,4378,103,0.9653134483557481,74.69720506668091
right,48,4390,91,0.967578798532486,75.62169981002808
